Nome,Twitter,Partito,Tipo
MARAIA Generoso,MaraiaGeneroso1,M5S,Camera
MARIANI Felice,FeliceMariani,M5S,Camera
MARINO Bernardo,\N,M5S,Camera
MARTINCIGLIO Vita,\N,M5S,Camera
MARZANA Maria,maria_marzana,M5S,Camera
MASI Angela,\N,M5S,Camera
MELICCHIO Alessandro,AlexMelicchio,M5S,Camera
MENGA Rosa,\N,M5S,Camera
MICILLO Salvatore,micillom5s,M5S,Camera
MIGLIORINO Luca,\N,M5S,Camera
MISITI Carmelo Massimo,mismas00,M5S,Camera
MURA Andrea,A_MuraOfficial,M5S,Camera
NANNI Iolanda,IolandaNanni,M5S,Camera
NAPPI Silvana,\N,M5S,Camera
NESCI Dalila,DalilaNesci,M5S,Camera
NITTI Michele,\N,M5S,Camera
OLGIATI Riccardo,rickyolgiati,M5S,Camera
ORRICO Anna Laura,AnnaLauraOrrico,M5S,Camera
PALLINI Maria,Maria_Pallini,M5S,Camera
PALMISANO Valentina,9.76863849793163E+017,M5S,Camera
PAPIRO Antonella,\N,M5S,Camera
PARENTELA Paolo,PaoloParentela,M5S,Camera
PARISSE Martina,\N,M5S,Camera
PAXIA Maria Laura,LauraPaxia,Ex M5S,Camera
PENNA Leonardo Salvatore,\N,M5S,Camera
PERANTONI Mario,\N,M5S,Camera
PERCONTI Filippo Giuseppe,\N,M5S,Camera
PIGNATONE Dedalo Cosimo Gaetano,\N,M5S,Camera
PROVENZA Nicola,NicolaProvenza,M5S,Camera
RADUZZI Raphael,RaphaelRaduzzi,Ex M5S,Camera
RAFFA Angela,RaffaAngela,M5S,Camera
RICCIARDI Riccardo,ricric77,M5S,Camera
RIZZO Gianluca,gianlucarizzo46,M5S,Camera
RIZZONE Marco,rizzonem,CD,Camera
ROMANIELLO Cristian,Cristian5stelle,Ex M5S,Camera
ROMANO Paolo Nicolo',romanopaolo,Ex M5S,Camera
ROSPI Gianluca,GianlucaRospi,Cambiamo!,Camera
ROSSINI Roberto,\N,M5S,Camera
RUGGIERO Francesca Anna,franna_rugg84,M5S,Camera
RUOCCO Carla,carlaruocco1,M5S,Camera
RUSSO Giovanni,\N,M5S,Camera
SAITTA Eugenio,eugenio_saitta,M5S,Camera
SALAFIA Angela,AngelaSalafia,M5S,Camera
SAPIA Francesco,francescosapia3,Ex M5S,Camera
SARLI Doriana,\N,M5S,Camera
SARTI Giulia,GiuliaSarti86,M5S,Camera
SCAGLIUSI Emanuele,E_Scagliusi,M5S,Camera
SCANU Lucia,luciasar,M5S,Camera
SCERRA Filippo,\N,M5S,Camera
SCUTELLA' Elisa,\N,M5S,Camera
SEGNERI Enrica,KikeSe81,M5S,Camera
SERRITELLA Davide,\N,M5S,Camera
SIBILIA Carlo,carlosibilia,M5S,Camera
SILVESTRI Francesco,FraSilvestriM5S,M5S,Camera
SILVESTRI Rachele,raksilv,Ex M5S,Camera
SIRAGUSA Elisa,\N,M5S,Camera
SODANO Michele,MicSodano,M5S,Camera
SPADAFORA Vincenzo,\N,M5S,Camera
SPADONI Maria Edera,mariaederaM5S,M5S,Camera
SPESSOTTO Arianna,AriannaM5s,Ex M5S,Camera
SPORTIELLO Gilda,\N,M5S,Camera
SURIANO Simona,simonasuriano,Ex M5S,Camera
SUT Luca,Luca_Sut,M5S,Camera
TERMINI Guia,Guia_Termini,Ex M5S,Camera
TERZONI Patrizia,PatriziaTerzoni,M5S,Camera
TESTAMENTO Rosa Alba,\N,Ex M5S,Camera
TOFALO Angelo,AngeloTofalo,M5S,Camera
TORTO Daniela,\N,M5S,Camera
TRANO Raffaele,raffaele_trano,Ex M5S,Camera
TRAVERSI Roberto,TraversiRoberto,M5S,Camera
TRIPIEDI Davide,\N,M5S,Camera
TRIPODI Elisa,ElisaTripodi2,M5S,Camera
TRIZZINO Giorgio,GiorgioTrizzino,M5S,Camera
TROIANO Francesca,Francesca_M5S,M5S,Camera
TUCCI Riccardo,RicTucci,M5S,Camera
TUZI Manuel,1.01701717397646E+018,M5S,Camera
VACCA Gianluca,GianlucaVacca,M5S,Camera
VALENTE Simone,ValenteM5S,M5S,Camera
VALLASCAS Andrea,AndreaVallascas,Ex M5S,Camera
VARRICA Adriano,AdrianoVarrica,M5S,Camera
VIANELLO Giovanni,8.214209414818E+017,M5S,Camera
VIGNAROLI Stefano,SVignaroli,M5S,Camera
VILLANI Virginia,VILLANIM5S,M5S,Camera
VILLAROSA Alessio Mattia,ale_villarosa,Ex M5S,Camera
VIZZINI Gloria,gloria_vizzini,Ex M5S,Camera
VOLPI Leda,\N,M5S,Camera
ZANICHELLI Davide,zani83,M5S,Camera
ZENNARO Antonio,\N,M5S,Camera
ZOLEZZI Alberto,ZolezziAlberto,M5S,Camera
ANDREUZZA Giorgia,GiorgiAndreuzza,Lega,Camera
BADOLE Mirco,\N,Lega,Camera
BASINI Giuseppe,\N,Lega,Camera
BAZZARO Alex,AlexBazzaro,Lega,Camera
BELLACHIOMA Giuseppe Ercole,\N,Lega,Camera
BELOTTI Daniele,\N,Lega,Camera
BENVENUTO Alessandro Manuel,\N,Lega,Camera
BIANCHI Matteo Luigi,bianchimatteo79,Lega,Camera
BILLI Simone,simo_billi,Lega,Camera
BINELLI Diego,\N,Lega,Camera
BISA Ingrid,\N,Lega,Camera
BITONCI Massimo,massimobitonci,Lega,Camera
BOLDI Rossana,\N,Lega,Camera
BONIARDI Fabio Massimo,\N,Lega,Camera
BORDONALI Simona,SimonaBordonali,Lega,Camera
BORGHI Claudio,borghi_claudio,Lega,Camera
CAFFARATTO Gualtiero,\N,Lega,Camera
CANTALAMESSA Gianluca,\N,Lega,Camera
CAPARVI Virginio,VCaparvi,Lega,Camera
CAPITANIO Massimiliano,maxcapitanio,Lega,Camera
CASTIELLO Giuseppina,\N,Lega,Camera
CATTOI Vanessa,\N,Lega,Camera
CAVANDOLI Laura,LaCavandoli,Lega,Camera
CECCHETTI Fabrizio,FabriCecchetti,Lega,Camera
CENTEMERO Giulio,\N,Lega,Camera
CESTARI Emanuele,\N,Lega,Camera
COIN Dimitri,\N,Lega,Camera
COLLA Jari,\N,Lega,Camera
COLMELLERE Angela,\N,Lega,Camera
COMAROLI Silvana Andreina,\N,Lega,Camera
COMENCINI Vito,\N,Lega,Camera
COVOLO Silvia,\N,Lega,Camera
CRIPPA Andrea,\N,Lega,Camera
DARA Andrea,\N,Lega,Camera
DE ANGELIS Sara,\N,Lega,Camera
DE MARTINI Guido,GuidoDeMartini,Lega,Camera
D'ERAMO Luigi,Luigi_DEramo,Lega,Camera
DI MURO Flavio,\N,Lega,Camera
DI SAN MARTINO LORENZATO DI IVREA Luis Roberto,\N,Lega,Camera
DONINA Giuseppe Cesare,\N,Lega,Camera
DURIGON Claudio,ClaudioDurigon,Lega,Camera
FANTUZ Marica,\N,Lega,Camera
FEDRIGA Massimiliano,M_Fedriga,Lega,Camera
FERRARI Roberto Paolo,\N,Lega,Camera
FOGLIANI Ketty,\N,Lega,Camera
FONTANA Lorenzo,Fontana3Lorenzo,Lega,Camera
FORMENTINI Paolo,\N,Lega,Camera
FOSCOLO Sara,sarafoscolo,Lega,Camera
FRASSINI Rebecca,rebeccafrassini,Lega,Camera
FUGATTI Maurizio,MaurizioFugatti,Lega,Camera
FURGIUELE Domenico,DomenicoFurgiu1,Lega,Camera
GALLI Dario,\N,Lega,Camera
GARAVAGLIA Massimo,massimogara,Lega,Camera
GASTALDI Flavio,FlavioGastaldi,Lega,Camera
GAVA Vannia,VanniaGava,Lega,Camera
GERARDI Francesca,\N,Lega,Camera
GIACCONE Andrea,AndreaGiaccone,Lega,Camera
GIACOMETTI Antonietta,\N,Lega,Camera
GIGLIO VIGNA Alessandro,\N,Lega,Camera
GIORGETTI Giancarlo,GGPaginaFan,Lega,Camera
GOBBATO Claudia,\N,Lega,Camera
GOLINELLI Guglielmo,GullyGolinelli,Lega,Camera
GRIMOLDI Paolo,GrimoldiPaolo,Lega,Camera
GUIDESI Guido,2197478480,Lega,Camera
GUSMEROLI Alberto Luigi,A_Gusmeroli,Lega,Camera
IEZZI Igor Giancarlo,igoriezzi,Lega,Camera
INVERNIZZI Cristian,cristianinve,Lega,Camera
LATINI Giorgia,latinigiorgia,Lega,Camera
LAZZARINI Arianna,arilazzarini,Lega,Camera
LEGNAIOLI Donatella,\N,Lega,Camera
LIUNI Marzio,\N,Lega,Camera
LOCATELLI Alessandra,Alesidcomo,Lega,Camera
LOLINI Mario,mariololini,Lega,Camera
LO MONTE Carmelo,\N,CD,Camera
LORENZONI Eva,\N,Lega,Camera
LUCCHINI Elena,ElenaLucchini,Lega,Camera
MACCANTI Elena,Elmac71,Lega,Camera
MAGGIONI Marco,marcmaggioni,Lega,Camera
MANZATO Franco,Franco_Manzato,Lega,Camera
MARCHETTI Riccardo Augusto,RiccardoAugust3,Lega,Camera
MATURI Filippo,\N,Lega,Camera
MOLINARI Riccardo,MolinariRik,Lega,Camera
MOLTENI Nicola,NicolaMolteni,Lega,Camera
MORELLI Alessandro,\N,Lega,Camera
MORRONE Jacopo,JacopoMorrone,Lega,Camera
MOSCHIONI Daniele,\N,Lega,Camera
MURELLI Elena,MurelliElena,Lega,Camera
PAGANO Alessandro,alepaganotwit,Lega,Camera
PANIZZUT Massimiliano,MaxiPanizzut,Lega,Camera
PAOLINI Luca Rodolfo,\N,Lega,Camera
PAROLO Ugo,UgoParolo,Lega,Camera
PATASSINI Tullio,\N,Lega,Camera
PATELLI Cristina,cripatelli,Lega,Camera
PATERNOSTER Paolo,\N,Lega,Camera
PETTAZZI Lino,\N,Lega,Camera
PIASTRA Carlo,CarloPiastra,Lega,Camera
PICCHI Guglielmo,guglielmopicchi,Lega,Camera
POTENTI Manfredi,\N,Lega,Camera
PRETTO Erik Umberto,\N,Lega,Camera
RACCHELLA Germano,\N,Lega,Camera
RAFFAELLI Elena,\N,Lega,Camera
RIBOLLA Alberto,AlbertoRibolla,Lega,Camera
RIXI Edoardo,edorixi,Lega,Camera
SALTAMARTINI Barbara,BSaltamartini,Lega,Camera
SASSO Rossano,roxsasso,Lega,Camera
SEGNANA Stefania,\N,Lega,Camera
STEFANI Alberto,\N,Lega,Camera
TARANTINO Leonardo,\N,Lega,Camera
TATEO Anna Rita,tateo_annarita,Lega,Camera
TERZI Claudia Maria,cmterzi,Lega,Camera
TIRAMANI Paolo,PaoloTiramani,Lega,Camera
TOMASI Maura,mauratomasi,Lega,Camera
TOMBOLATO Giovanni Battista,\N,Lega,Camera
TONELLI Gianni,GianniTonelli,Lega,Camera
TURRI Roberto,\N,Lega,Camera
VALBUSA Vania,\N,Lega,Camera
VALLOTTO Sergio,\N,Lega,Camera
VINCI Gianluca,GianlucaVinci80,Lega,Camera
VIVIANI Lorenzo,\N,Lega,Camera
VOLPI Raffaele,volpi_raffaele,Lega,Camera
ZANOTELLI Giulia,\N,Lega,Camera
ZICCHIERI Francesco,\N,Lega,Camera
ZIELLO Edoardo,EdoardoZiello1,Lega,Camera
ZOFFILI Eugenio,eugenio_zoffili,Lega,Camera
ZORDAN Adolfo,\N,Lega,Camera
ANGELUCCI Antonio,AvvAngelucci,Forza Italia,Camera
APREA Valentina,ApreaValentina,Forza Italia,Camera
BAGNASCO Roberto,RobBagnasco,Forza Italia,Camera
BALDELLI Simone,simonebaldelli,Forza Italia,Camera
BARATTO Raffaele,Raffabaratto,Forza Italia,Camera
BARELLI Paolo,\N,Forza Italia,Camera
BARONI Anna Lisa,annalisabaroni,Forza Italia,Camera
BARTOLOZZI Giusi,giusibartolozzi,Forza Italia,Camera
BATTILOCCHIO Alessandro,Battilocchio,Forza Italia,Camera
BENDINELLI Davide,d_bendinelli,Italia Viva,Camera
BENIGNI Stefano,stefanobenigni,Cambiamo!,Camera
BERGAMINI Deborah,DeborahBergamin,Forza Italia,Camera
BIANCOFIORE Michaela,BiancofioreMiky,Forza Italia,Camera
BIGNAMI Galeazzo,galeazzobignami,Forza Italia,Camera
BOND Dario,\N,Forza Italia,Camera
BRAMBILLA Michela Vittoria,mvbrambilla,Forza Italia,Camera
BRUNETTA Renato,renatobrunetta,Forza Italia,Camera
CALABRIA Annagrazia,CalabriaTw,Forza Italia,Camera
CANNATELLI Pasquale,\N,Forza Italia,Camera
CANNIZZARO Francesco,FrCannizzaro,Forza Italia,Camera
CAON Roberto,Roberto__Caon,Forza Italia,Camera
CAPPELLACCI Ugo,ugocappellacci,Forza Italia,Camera
CARFAGNA Maria Rosaria,mara_carfagna,Forza Italia,Camera
CARRARA Maurizio,Mauri_Carrara,Forza Italia,Camera
CASCIELLO Luigi,\N,Forza Italia,Camera
CASINO Michele,casino_michele,Forza Italia,Camera
CASSINELLI Roberto,\N,Forza Italia,Camera
CATTANEO Alessandro,aleCattaneo79,Forza Italia,Camera
CORTELAZZO Piergiorgio,\N,Forza Italia,Camera
COSTA Enrico,\N,Azione/+Europa,Camera
CRISTINA Mirella,mire_cris,Forza Italia,Camera
D'ATTIS Mauro,MauroDattis,Forza Italia,Camera
DELLA FRERA Guido,\N,Forza Italia,Camera
D'ETTORE Felice Maurizio,\N,Forza Italia,Camera
